name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender,wikidata,wikidata_group,wikidata_area
Mazie K. Hirono,"Hirono, Mazie",,MazieHirono,senatorhirono,Democrat,democrat,ocd-division/country:us/state:hi,Hawaii,Senate,116,,,https://theunitedstates.io/images/congress/original/H001042.jpg,female,Q16476,Q29552,Q782
Michael B. Enzi,"Enzi, Michael",,SenatorEnzi,mikeenzi,Republican,republican,ocd-division/country:us/state:wy,Wyoming,Senate,116,,,https://theunitedstates.io/images/congress/original/E000285.jpg,male,Q432431,Q29468,Q1214
Michael F. Bennet,"Bennet, Michael",,SenatorBennet,senbennetco,Democrat,democrat,ocd-division/country:us/state:co,Colorado,Senate,116,,,https://theunitedstates.io/images/congress/original/B001267.jpg,male,Q554792,Q29552,Q1261
Mike Braun,"Braun, Mike",,SenatorBraun,,Republican,republican,ocd-division/country:us/state:in,Indiana,Senate,116,,,https://theunitedstates.io/images/congress/original/B001310.jpg,male,Q42804470,Q29468,Q1415
Mike Crapo,"Crapo, Michael",,MikeCrapo,mikecrapo,Republican,republican,ocd-division/country:us/state:id,Idaho,Senate,116,,,https://theunitedstates.io/images/congress/original/C000880.jpg,male,Q734319,Q29468,Q1221
Mike Lee,"Lee, Mike",,SenMikeLee,senatormikelee,Republican,republican,ocd-division/country:us/state:ut,Utah,Senate,116,,,https://theunitedstates.io/images/congress/original/L000577.jpg,male,Q627098,Q29468,Q829
Mike Rounds,"Rounds, Mike",,SenatorRounds,SenatorMikeRounds,Republican,republican,ocd-division/country:us/state:sd,South Dakota,Senate,116,,,https://theunitedstates.io/images/congress/original/R000605.jpg,male,Q722503,Q29468,Q1211
Mitch McConnell,"McConnell, Mitch",,McConnellPress,mitchmcconnell,Republican,republican,ocd-division/country:us/state:ky,Kentucky,Senate,116,,,https://theunitedstates.io/images/congress/original/M000355.jpg,male,Q355522,Q29468,Q1603
Mitt Romney,"Romney, Mitt",,SenatorRomney,,Republican,republican,ocd-division/country:us/state:ut,Utah,Senate,116,,,https://theunitedstates.io/images/congress/original/R000615.jpg,male,Q4496,Q29468,Q829
Pat Roberts,"Roberts, Pat",,SenPatRoberts,SenPatRoberts,Republican,republican,ocd-division/country:us/state:ks,Kansas,Senate,116,,,https://theunitedstates.io/images/congress/original/R000307.jpg,male,Q538375,Q29468,Q1558
Patrick J. Leahy,"Leahy, Patrick",,SenatorLeahy,SenatorPatrickLeahy,Democrat,democrat,ocd-division/country:us/state:vt,Vermont,Senate,116,,,https://theunitedstates.io/images/congress/original/L000174.jpg,male,Q59315,Q29552,Q16551
Patrick J. Toomey,"Toomey, Patrick",,SenToomey,senatortoomey,Republican,republican,ocd-division/country:us/state:pa,Pennsylvania,Senate,116,,,https://theunitedstates.io/images/congress/original/T000461.jpg,male,Q971308,Q29468,Q1400
Patty Murray,"Murray, Patty",,PattyMurray,,Democrat,democrat,ocd-division/country:us/state:wa,Washington,Senate,116,,,https://theunitedstates.io/images/congress/original/M001111.jpg,female,Q258825,Q29552,Q1223
Rand Paul,"Paul, Rand",,RandPaul,SenatorRandPaul,Republican,republican,ocd-division/country:us/state:ky,Kentucky,Senate,116,,,https://theunitedstates.io/images/congress/original/P000603.jpg,male,Q463557,Q29468,Q1603
Richard Blumenthal,"Blumenthal, Richard",,SenBlumenthal,SenBlumenthal,Democrat,democrat,ocd-division/country:us/state:ct,Connecticut,Senate,116,,,https://theunitedstates.io/images/congress/original/B001277.jpg,male,Q2023708,Q29552,Q779
Richard Burr,"Burr, Richard",,SenatorBurr,SenatorRichardBurr,Republican,republican,ocd-division/country:us/state:nc,North Carolina,Senate,116,,,https://theunitedstates.io/images/congress/original/B001135.jpg,male,Q331278,Q29468,Q1454
Richard C. Shelby,"Shelby, Richard",,SenShelby,RichardShelby,Republican,republican,ocd-division/country:us/state:al,Alabama,Senate,116,,,https://theunitedstates.io/images/congress/original/S000320.jpg,male,Q472254,Q29468,Q173
Richard J. Durbin,"Durbin, Richard",,SenatorDurbin,SenatorDurbin,Democrat,democrat,ocd-division/country:us/state:il,Illinois,Senate,116,,,https://theunitedstates.io/images/congress/original/D000563.jpg,male,Q434804,Q29552,Q1204
Rick Scott,"Scott, Rick",,SenRickScott,RickScottSenOffice,Republican,republican,ocd-division/country:us/state:fl,Florida,Senate,116,1/8/2019,,https://theunitedstates.io/images/congress/original/S001217.jpg,male,Q439729,Q29468,Q812
Rob Portman,"Portman, Robert",,SenRobPortman,senrobportman,Republican,republican,ocd-division/country:us/state:oh,Ohio,Senate,116,,,https://theunitedstates.io/images/congress/original/P000449.jpg,male,Q926069,Q29468,Q1397
Robert Menendez,"Menendez, Robert",,SenatorMenendez,senatormenendez,Democrat,democrat,ocd-division/country:us/state:nj,New Jersey,Senate,116,,,https://theunitedstates.io/images/congress/original/M000639.jpg,male,Q888132,Q29552,Q1408
"Robert P. Casey, Jr.","Casey, Robert",,SenBobCasey,SenatorBobCasey,Democrat,democrat,ocd-division/country:us/state:pa,Pennsylvania,Senate,116,,,https://theunitedstates.io/images/congress/original/C001070.jpg,male,Q887841,Q29552,Q1400
Roger F. Wicker,"Wicker, Roger",,SenatorWicker,SenatorWicker,Republican,republican,ocd-division/country:us/state:ms,Mississippi,Senate,116,,,https://theunitedstates.io/images/congress/original/W000437.jpg,male,Q390491,Q29468,Q1494
Ron Johnson,"Johnson, Ron",,SenRonJohnson,senronjohnson,Republican,republican,ocd-division/country:us/state:wi,Wisconsin,Senate,116,,,https://theunitedstates.io/images/congress/original/J000293.jpg,male,Q970272,Q29468,Q1537
Ron Wyden,"Wyden, Ron",,RonWyden,,Democrat,democrat,ocd-division/country:us/state:or,Oregon,Senate,116,,,https://theunitedstates.io/images/congress/original/W000779.jpg,male,Q529344,Q29552,Q824
Roy Blunt,"Blunt, Roy",,RoyBlunt,SenatorBlunt,Republican,republican,ocd-division/country:us/state:mo,Missouri,Senate,116,,,https://theunitedstates.io/images/congress/original/B000575.jpg,male,Q1525924,Q29468,Q1581
Sheldon Whitehouse,"Whitehouse, Sheldon",,SenWhitehouse,SenatorWhitehouse,Democrat,democrat,ocd-division/country:us/state:ri,Rhode Island,Senate,116,,,https://theunitedstates.io/images/congress/original/W000802.jpg,male,Q652066,Q29552,Q1387
Shelley Moore Capito,"Capito, Shelley",,SenCapito,senshelley,Republican,republican,ocd-division/country:us/state:wv,West Virginia,Senate,116,,,https://theunitedstates.io/images/congress/original/C001047.jpg,female,Q459618,Q29468,Q1371
Sherrod Brown,"Brown, Sherrod",,SenSherrodBrown,SenatorSherrodBrown,Democrat,democrat,ocd-division/country:us/state:oh,Ohio,Senate,116,,,https://theunitedstates.io/images/congress/original/B000944.jpg,male,Q381880,Q29552,Q1397
